County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2003,365,300,53,9,3,0,172,64,39,4,97,220,0,44,0
Alpine,2003,,,,,,,,,,,,,,,
Amador,2003,364,256,79,29,0,0,150,97,41,6,0,358,0,0,0
Butte,2003,365,144,170,43,8,0,164,108,58,0,0,220,0,145,0
Calaveras,2003,363,212,85,50,16,0,179,122,45,3,0,341,0,19,0
Colusa,2003,365,291,73,1,0,0,101,63,38,0,0,274,0,45,46
Contra Costa,2003,365,245,102,18,0,0,150,82,44,0,30,240,5,89,1
Del Norte,2003,148,148,0,0,0,0,43,22,12,0,0,0,0,97,51
El Dorado,2003,365,168,113,57,23,4,218,136,54,0,8,348,0,8,1
Fresno,2003,365,40,131,95,87,12,212,177,107,0,10,230,0,124,1
Glenn,2003,365,278,80,7,0,0,129,67,40,0,0,316,0,0,49
Humboldt,2003,64,56,7,1,0,0,102,54,25.5,0,0,0,0,51,13
Imperial,2003,365,124,177,54,9,1,736,113,61,14,54,234,0,40,23
Inyo,2003,365,179,120,42,5,19,16515,132,51,0,0,293,0,3,69
Kern,2003,365,23,118,100,93,31,223,197,118,0,0,205,0,158,2
Kings,2003,364,166,121,66,11,0,187,126,55.5,0,61,246,0,49,8
Lake,2003,363,331,32,0,0,0,84,48,37,0,0,359,0,4,0
Lassen,2003,,,,,,,,,,,,,,,
Los Angeles,2003,365,41,154,83,57,30,249,197,95,2,54,184,0,125,0
Madera,2003,364,204,96,51,13,0,192,126,46,0,59,305,0,0,0
Marin,2003,365,358,7,0,0,0,90,38,28,0,217,113,0,34,1
Mariposa,2003,365,163,97,82,23,0,195,140,55,0,0,344,0,21,0
Mendocino,2003,365,339,26,0,0,0,87,47,33,5,39,295,0,22,4
Merced,2003,364,128,118,65,49,4,205,159,71,0,33,284,0,45,2
Modoc,2003,2,2,0,0,0,0,42,42,31.5,0,0,0,0,2,0
Mono,2003,314,177,117,11,2,7,5641,90,48,0,0,258,0,21,35
Monterey,2003,365,333,29,3,0,0,136,48,36,0,11,331,0,14,9
Napa,2003,365,350,12,3,0,0,143,43,31,1,99,259,0,0,6
Nevada,2003,365,172,100,71,22,0,195,133,58,0,0,336,0,20,9
Orange,2003,365,93,211,48,13,0,200,116,63,0,47,163,0,152,3
Placer,2003,365,190,119,41,13,2,206,126,50,0,60,288,0,17,0
Plumas,2003,355,277,71,7,0,0,144,70,41,0,0,229,0,76,50
Riverside,2003,365,47,152,68,70,28,243,195,97,0,14,194,0,146,11
Sacramento,2003,365,99,179,57,25,5,214,144,67,1,8,232,0,120,4
San Benito,2003,365,257,88,19,1,0,156,90,43,0,0,365,0,0,0
San Bernardino,2003,365,69,135,61,49,51,251,208,90,0,74,233,0,52,6
San Diego,2003,365,82,204,71,7,1,289,126,68,2,37,181,0,142,3
San Francisco,2003,365,294,66,5,0,0,116,62,37,0,101,147,1,115,1
San Joaquin,2003,365,240,98,25,2,0,159,97,44,0,84,203,0,61,17
San Luis Obispo,2003,365,187,146,31,1,0,159,97,50,0,8,218,122,13,4
San Mateo,2003,365,335,27,3,0,0,126,47,33,0,108,208,0,49,0
Santa Barbara,2003,365,202,121,37,5,0,192,101,49,0,7,344,2,11,1
Santa Clara,2003,365,215,127,17,6,0,190,90,47,0,34,187,0,144,0
Santa Cruz,2003,365,335,28,2,0,0,112,48,35,0,1,343,1,16,4
Shasta,2003,364,262,77,18,7,0,177,90,43,0,0,342,0,20,2
Sierra,2003,,,,,,,,,,,,,,,
Siskiyou,2003,291,235,53,3,0,0,112,61,39,0,0,249,0,21,21
Solano,2003,365,300,55,10,0,0,136,61,38,2,60,262,0,41,0
Sonoma,2003,365,330,33,2,0,0,133,49,37,0,58,266,0,40,1
Stanislaus,2003,365,194,102,53,16,0,187,126,49,4,79,230,0,48,4
Sutter,2003,365,248,80,32,5,0,185,101,42,0,95,248,0,18,4
Tehama,2003,278,155,85,35,3,0,156,105,46,0,0,261,0,0,17
Trinity,2003,125,124,1,0,0,0,51,30,13,0,0,0,0,91,34
Tulare,2003,365,56,126,93,78,12,210,177,101,0,0,223,0,141,1
Tuolumne,2003,365,208,100,52,5,0,156,115,44,4,0,361,0,0,0
Ventura,2003,365,164,105,68,27,1,209,143,54,0,41,280,0,39,5
Yolo,2003,365,250,92,23,0,0,147,85,44,0,32,259,0,72,2
Yuba,2003,,,,,,,,,,,,,,,
