county,children,adults,all
Alameda,23248.52,56622.29,41610.21
Alpine
Amador,,39202.9,39202.9
Butte,24192.41,42561.53,35598.07
Calaveras,,48807.72,45070.72
Colusa,,23169.27,25524.46
Contra Costa,27723.19,54252.93,45783.82
Del Norte,,32679.33,31990.11
El Dorado,22273.67,47367.81,40523.95
Fresno,20957.16,32153.66,26143.21
Glenn,20957.16,37677.0,36059.94
Humboldt,14269.6,45861.84,40820.52
Imperial,19060.77,35955.01,26535.19
Inyo,13522.33,27682.2,22372.25
Kern,20590.24,48617.97,39402.33
Kings,26144.38,21896.54,23279.56
Lake,25953.67,40137.03,36733.02
Lassen,12551.45,20799.37,17775.13
Los Angeles,23254.06,42843.4,36535.98
Madera,30507.6,30542.65,30519.95
Marin,41868.31,64327.3,56384.49
Mariposa,9828.0,23651.71,21923.75
Mendocino,18206.24,28218.6,23618.32
Merced,18404.43,51170.2,38991.77
Modoc,,8379.63,8379.63
Mono,15195.0,41523.2,37135.17
Monterey,38019.69,68419.86,55409.09
Napa,21961.91,60705.43,52348.98
Nevada,19350.56,41554.97,37517.81
Orange,30498.09,43378.85,39241.96
Placer,23873.24,37908.13,33780.22
Plumas,,25726.5,25726.5
Riverside,31994.78,46120.1,41004.55
Sacramento,36216.07,50772.23,45225.6
San Benito,40280.0,32326.09,33971.72
San Bernardino,31669.6,41370.9,37845.52
San Diego,32728.07,40929.97,37864.44
San Francisco,34485.11,53555.58,47620.2
San Joaquin,30089.83,57575.93,48393.49
San Luis Obispo,21305.3,83914.4,55017.89
San Mateo,57046.37,73557.47,68335.11
Santa Barbara,19373.53,41603.11,32556.19
Santa Clara,32251.59,70003.3,57808.45
Santa Cruz,39036.74,52545.81,47387.8
Shasta,17395.36,46420.6,35865.97
Sierra,,,
Siskiyou,11290.33,21938.57,17024.0
Solano,32075.52,64876.83,56935.46
Sonoma,35248.22,52797.69,45408.44
Stanislaus,24169.35,69473.62,53125.62
Sutter,27127.04,46783.17,32013.58
Tehama,24551.87,42502.0,33327.49
Trinity,22.933,10175,11997
Tulare,18638.61,31187.84,26545.35
Tuolumne,51077.0,37603.54,43115.41
Ventura,20806.98,60376.34,50825.11
Yolo,37549.56,39760.06,39239.94
Yuba,27992.6,35292.89,33145.75
