County,Population near busy roads (%)
Alameda,71.7
Alpine,0.0
Amador,6.8
Butte,31.2
Calaveras,3.4
Colusa,10.0
Contra Costa,49.9
Del Norte,8.0
El Dorado,17.6
Fresno,49.6
Glenn,9.0
Humboldt,24.0
Imperial,27.0
Inyo,8.4
Kern,38.4
Kings,17.9
Lake,7.6
Lassen,6.0
Los Angeles,79.8
Madera,13.9
Marin,40.2
Mariposa,0.0
Mendocino,16.6
Merced,28.4
Modoc,0.0
Mono,11.9
Monterey,40.8
Napa,36.2
Nevada,14.5
Orange,74.2
Placer,32.6
Plumas,1.6
Riverside,41.6
Sacramento,57.9
San Benito,21.3
San Bernardino,49.3
San Diego,56.0
San Francisco,81.7
San Joaquin,50.9
San Luis Obispo,29.6
San Mateo,64.5
Santa Barbara,43.7
Santa Clara,70.9
Santa Cruz,49.8
Shasta,26.3
Sierra,0.1
Siskiyou,10.6
Solano,38.8
Sonoma,39.5
Stanislaus,45.0
Sutter,34.8
Tehama,14.2
Trinity,0.0
Tulare,28.1
Tuolumne,11.8
Ventura,55.0
Yolo,43.9
Yuba,27.9
