Date,Main Pollutant,Overall AQI Value,PM25
01/03/2015,PM2.5,9,9
01/06/2015,PM2.5,8,8
01/09/2015,PM2.5,18,18
01/15/2015,PM2.5,15,15
01/18/2015,PM2.5,22,22
01/21/2015,PM2.5,8,8
01/24/2015,PM2.5,15,15
01/27/2015,PM2.5,13,13
01/30/2015,PM2.5,15,15
02/02/2015,PM2.5,1,1
02/11/2015,PM2.5,12,12
02/14/2015,PM2.5,15,15
02/17/2015,PM2.5,11,11
02/20/2015,PM2.5,11,11
02/23/2015,PM2.5,6,6
02/26/2015,PM2.5,10,10
03/01/2015,PM2.5,17,17
03/04/2015,PM2.5,13,13
03/07/2015,PM2.5,13,13
03/10/2015,PM2.5,9,9
03/13/2015,PM2.5,7,7
03/16/2015,PM2.5,3,3
03/19/2015,PM2.5,16,16
03/22/2015,PM2.5,5,5
03/25/2015,PM2.5,9,9
03/28/2015,PM2.5,15,15
03/31/2015,PM2.5,11,11
04/03/2015,PM2.5,16,16
04/06/2015,PM2.5,4,4
04/09/2015,PM2.5,4,4
04/12/2015,PM2.5,23,23
04/15/2015,PM2.5,18,18
04/18/2015,PM2.5,35,35
04/21/2015,PM2.5,16,16
04/24/2015,PM2.5,17,17
04/27/2015,PM2.5,5,5
04/30/2015,PM2.5,44,44
05/03/2015,PM2.5,18,18
05/06/2015,PM2.5,25,25
05/09/2015,PM2.5,24,24
05/12/2015,PM2.5,16,16
05/15/2015,PM2.5,16,16
05/18/2015,PM2.5,21,21
05/21/2015,PM2.5,10,10
05/24/2015,PM2.5,17,17
05/27/2015,PM2.5,6,6
05/30/2015,PM2.5,6,6
06/02/2015,PM2.5,5,5
06/05/2015,PM2.5,39,39
06/08/2015,PM2.5,15,15
06/11/2015,PM2.5,52,52
06/14/2015,PM2.5,62,62
06/17/2015,PM2.5,18,18
06/20/2015,PM2.5,24,24
06/23/2015,PM2.5,15,15
06/26/2015,PM2.5,47,47
06/29/2015,PM2.5,3,3
07/02/2015,PM2.5,10,10
07/05/2015,PM2.5,5,5
07/08/2015,PM2.5,23,23
07/11/2015,PM2.5,10,10
07/14/2015,PM2.5,24,24
07/17/2015,PM2.5,58,58
07/23/2015,PM2.5,25,25
07/26/2015,PM2.5,16,16
07/29/2015,PM2.5,39,39
08/01/2015,PM2.5,8,8
08/04/2015,PM2.5,6,6
08/07/2015,PM2.5,39,39
08/10/2015,PM2.5,34,34
08/13/2015,PM2.5,54,54
08/16/2015,PM2.5,67,67
08/19/2015,PM2.5,27,27
08/22/2015,PM2.5,30,30
08/25/2015,PM2.5,68,68
08/28/2015,PM2.5,67,67
08/31/2015,PM2.5,38,38
09/03/2015,PM2.5,21,21
09/06/2015,PM2.5,20,20
09/09/2015,PM2.5,52,52
09/12/2015,PM2.5,10,10
09/15/2015,PM2.5,27,27
09/18/2015,PM2.5,10,10
09/21/2015,PM2.5,9,9
09/24/2015,PM2.5,15,15
09/27/2015,PM2.5,36,36
09/30/2015,PM2.5,16,16
10/03/2015,PM2.5,20,20
10/06/2015,PM2.5,17,17
10/09/2015,PM2.5,19,19
10/12/2015,PM2.5,18,18
10/15/2015,PM2.5,5,5
10/18/2015,PM2.5,10,10
10/21/2015,PM2.5,18,18
10/24/2015,PM2.5,20,20
10/27/2015,PM2.5,8,8
10/30/2015,PM2.5,13,13
11/02/2015,PM2.5,9,9
11/05/2015,PM2.5,24,24
11/08/2015,PM2.5,4,4
11/11/2015,PM2.5,9,9
11/14/2015,PM2.5,32,32
11/17/2015,PM2.5,3,3
11/20/2015,PM2.5,4,4
11/23/2015,PM2.5,21,21
11/26/2015,PM2.5,11,11
11/29/2015,PM2.5,9,9
12/02/2015,PM2.5,2,2
12/05/2015,PM2.5,3,3
12/08/2015,PM2.5,4,4
12/11/2015,PM2.5,5,5
12/23/2015,PM2.5,10,10
12/26/2015,PM2.5,1,1
12/29/2015,PM2.5,7,7
