Alameda,2007,58.9,68.3,49.0,92.0,28.0,10.395,0.965
Alpine,2007,42.6,53.55,33.25,82.0,-9.5,24.17,1.6
Amador,2007,59.0,69.65,48.35,102.5,18.5,24.61,2.02
Butte,2007,61.8,72.95,49.35,104.5,24.0,37.24,4.02
Calaveras,2007,56.3,74.2,45.2,108.0,20.0,28.53,2.79
Colusa,2007,61.3,76.0,46.5,104.0,22.0,10.3,0.8
Contra Costa,2007,58.85,68.8,48.4,102.0,24.0,10.59,1.08
Del Norte,2007,51.2,57.85,44.6,78.5,25.0,64.3,2.83
El Dorado,2007,45.3,59.3,36.2,91.0,3.0,24.23,1.96
Fresno,2007,59.4,71.85,49.0,105.5,17.0,7.53,1.485
Glenn,2007,61.2,75.75,47.9,105.0,19.0,10.58,1.12
Humboldt,2007,52.3,60.6,44.1,91.0,23.0,41.335,2.585
Imperial,2007,75.4,89.3,60.1,117.0,25.5,1.65,0.79
Inyo,2007,61.0,75.4,47.8,107.5,8.0,1.69,0.54
Kern,2007,62.0,73.0,47.6,108.0,12.0,2.71,0.35
Kings,2007,63.4,77.75,48.95,110.0,17.5,4.02,0.51
Lake,2007,57.9,71.95,46.7,106.5,22.0,,
Lassen,2007,47.3,61.9,32.1,101.0,-2.0,5.68,0.91
Los Angeles,2007,63.7,75.5,51.9,106.0,26.0,5.93,1.0
Madera,2007,62.4,73.9,48.5,108.0,20.0,5.65,0.77
Marin,2007,58.1,67.3,47.7,99.0,29.5,22.49,2.265
Mariposa,2007,59.4,72.3,46.4,106.5,16.0,19.55,2.1
Mendocino,2007,57.1,68.7,43.6,102.0,19.0,27.96,2.045
Merced,2007,62.3,76.8,47.5,107.0,19.0,5.02,0.64
Modoc,2007,47.7,60.45,33.9,102.0,1.0,14.85,0.985
Mono,2007,43.05,59.2,32.55,90.0,-13.0,16.78,1.4
Monterey,2007,56.95,70.8,44.8,98.0,22.0,9.44,0.705
Napa,2007,59.7,73.8,45.15,101.0,23.0,19.41,1.5
Nevada,2007,50.1,63.9,39.4,98.0,10.0,39.71,2.845
Orange,2007,65.15,76.3,54.55,106.0,30.5,5.3,1.17
Placer,2007,49.95,59.05,39.4,91.5,7.5,41.23,3.3
Plumas,2007,49.4,63.5,34.7,104.0,7.0,22.63,1.5
Riverside,2007,66.6,83.4,52.6,114.0,21.0,2.29,1.195
Sacramento,2007,61.3,75.3,47.4,107.0,21.0,12.14,1.38
San Benito,2007,58.4,72.35,45.05,102.0,18.5,7.255,0.675
San Bernardino,2007,64.35,77.2,51.0,109.5,14.0,3.54,1.36
San Diego,2007,61.6,73.9,48.5,105.5,21.0,8.39,1.99
San Francisco,2007,57.3,63.8,50.7,88.0,37.0,14.15,1.27
San Joaquin,2007,63.0,77.2,48.8,110.0,20.0,8.795,1.08
San Luis Obispo,2007,59.45,76.75,44.1,109.0,16.0,9.995,2.59
San Mateo,2007,56.3,65.6,47.5,91.5,32.0,15.15,1.34
Santa Barbara,2007,60.5,73.75,47.2,104.5,23.0,8.39,1.68
Santa Clara,2007,59.4,68.8,48.2,95.0,25.0,8.64,0.94
Santa Cruz,2007,56.65,67.45,45.65,94.5,23.0,15.23,1.46
Shasta,2007,60.9,72.1,47.6,109.5,20.5,25.825,2.385
Sierra,2007,46.6,62.0,31.2,97.0,-2.0,20.44,1.8
Siskiyou,2007,50.65,65.05,37.4,102.5,8.5,14.75,1.61
Solano,2007,63.2,77.3,48.5,109.0,23.0,13.405,1.28
Sonoma,2007,58.05,71.2,44.95,100.5,22.0,23.07,1.91
Stanislaus,2007,63.0,74.3,51.75,106.0,25.5,7.39,0.55
Sutter,2007,,,,,,10.74,1.5
Tehama,2007,60.6,72.05,49.15,106.5,19.0,13.625,1.455
Trinity,2007,53.7,68.6,40.0,105.0,12.0,21.715,1.665
Tulare,2007,57.6,67.6,44.8,102.0,13.0,13.955,1.85
Tuolumne,2007,55.5,67.7,42.6,101.0,12.0,23.28,2.07
Ventura,2007,60.45,72.95,49.9,102.0,27.0,6.135,1.32
Yolo,2007,63.2,76.75,49.3,108.5,21.5,11.67,1.72
Yuba,2007,58.0,67.0,42.9,98.0,17.0,32.0,2.69
