county,0-4,5-17,18-64,65+,total,Asian (%),Black (%),Hispanic (%),White (%),Other (%),Adult smokers (%),Second-hand smoke (%),Adult obese (%),Federal poverty (%),Unemployment (%),Medicare (%),Medi-Cal (%),Private (%),Other (%),Children,Adults,All,Population near busy roads (%),Year,Average AQI,Maximum AQI,IQR AQI
Alameda,99911,248516,1022113,196707,1567248,27.5,12.1,23.8,32.4,4.2,11.0,7.4,21.0,10.8,10.7,14.97,46.92,23.22,14.9,23248.52,56622.29,41610.21,71.7,2015,51.32,147.0,20.0
Amador,1341,4466,22016,9011,36833,1.4,2.6,13.8,77.9,4.2,16.9,8.0,18.7,8.3,11.7,28.19,23.35,40.97,7.49,,39202.9,39202.9,6.8,2015,42.84,140.0,20.0
Butte,11474,33791,140503,37584,223353,4.9,1.4,15.6,73.1,5.0,16.7,14.5,23.8,18.9,12.5,18.1,56.85,16.97,8.08,24192.41,42561.53,35598.07,31.2,2015,57.56,152.0,23.0
Calaveras,1692,6109,26210,10992,45004,1.3,0.8,10.9,82.9,4.1,16.9,8.0,18.7,8.6,14.1,22.82,45.63,22.82,8.74,,48807.72,45070.72,3.4,2015,53.36,320.0,22.0
Colusa,1590,4524,13132,2837,22083,1.4,0.8,56.5,38.7,2.6,15.1,3.9,38.2,13.3,18.3,14.13,54.35,21.74,9.78,,23169.27,25524.46,10.0,2015,49.34,191.0,18.2
Contra Costa,62767,189096,679089,153863,1084815,14.9,8.6,25.4,47.0,4.1,10.6,6.2,24.0,9.4,10.3,19.28,37.27,32.04,11.41,27723.19,54252.93,45783.82,49.9,2015,47.33,147.0,16.0
Del Norte,1511,4144,18464,4430,28549,3.3,4.3,18.4,63.5,10.5,15.2,11.5,31.4,20.2,12.2,9.23,70.0,12.31,8.46,,32679.33,31990.11,8.0,2015,18.40,68.0,13.8
El Dorado,8414,29251,112898,31798,182360,4.0,0.7,13.2,78.4,3.7,11.5,4.2,22.9,7.6,11.3,14.59,30.02,38.81,16.58,22273.67,47367.81,40523.95,17.6,2015,52.26,166.0,26.0
Fresno,79872,199933,585623,107296,972724,9.6,4.9,51.7,31.4,2.5,13.9,6.5,30.0,21.6,15.1,8.87,69.13,15.51,6.49,20957.16,32153.66,26143.21,49.6,2015,85.24,205.0,47.0
Glenn,2041,5501,16985,4098,28626,2.5,0.7,39.8,53.6,3.4,15.1,3.9,38.2,17.7,14.6,20.18,49.54,15.6,14.68,20957.16,37677.0,36059.94,9.0,2015,46.24,93.0,18.0
Humboldt,6806,19018,88330,21237,135392,2.7,1.1,10.6,76.0,9.6,17.4,4.9,27.6,19.0,11.0,19.54,51.1,15.23,14.13,14269.6,45861.84,40820.52,24.0,2015,33.90,90.0,13.0
Imperial,15369,37095,112755,21524,186744,0.9,3.2,80.7,13.7,1.5,12.6,3.8,41.7,22.4,28.2,11.55,43.5,38.48,6.47,19060.77,35955.01,26535.19,27.0,2015,69.09,175.0,29.0
Inyo,954,2635,11232,3834,18656,1.4,0.6,20.8,64.7,12.6,16.9,8.0,18.7,,9.1,16.3,47.83,29.35,6.52,13522.33,27682.2,22372.25,8.4,2015,62.64,1383.0,32.0
Kern,73380,183155,540506,90089,887129,3.7,5.4,50.4,38.0,2.6,18.1,5.5,33.2,20.6,14.4,11.04,64.86,14.97,9.12,20590.24,48617.97,39402.33,38.4,2015,89.87,201.0,48.0
Kings,12201,29268,99322,13938,154729,3.5,7.8,50.3,35.2,3.3,14.8,2.9,36.6,17.4,14.6,9.36,61.58,18.48,10.57,26144.38,21896.54,23279.56,17.9,2015,75.54,174.0,42.0
Lake,3441,9284,39190,12968,64884,1.1,1.8,18.1,73.1,5.8,26.2,8.9,26.4,19.4,15.6,21.78,53.53,13.07,11.62,25953.67,40137.03,36733.02,7.6,2015,36.54,148.0,13.0
Lassen,1406,4113,24387,4012,33918,1.5,9.1,16.3,67.5,5.7,15.2,11.5,31.4,15.8,12.9,18.45,39.81,24.27,17.48,12551.45,20799.37,17775.13,6.0,2015,,,
Los Angeles,670558,1651655,6497777,1205588,10025579,13.9,7.9,49.5,26.5,2.2,13.2,6.7,24.7,15.4,11.6,10.97,50.06,26.86,12.1,23254.06,42843.4,36535.98,79.8,2015,91.27,203.0,59.0
Madera,11891,31124,95335,19480,157830,1.7,3.2,56.2,36.0,2.7,15.2,7.1,34.4,16.9,13.7,9.18,68.78,16.63,5.41,30507.6,30542.65,30519.95,13.9,2015,68.54,154.0,32.0
Marin,12575,38547,155296,48456,254873,5.9,2.8,17.0,71.0,3.2,5.5,4.6,13.9,5.9,7.8,21.93,34.37,33.9,9.8,41868.31,64327.3,56384.49,40.2,2015,40.52,103.0,19.0
Mariposa,723,2244,10640,4337,17944,1.2,0.6,10.1,82.3,5.7,16.9,8.0,18.7,,10.6,40.0,16.67,36.67,6.67,9828.0,23651.71,21923.75,0.0,2015,52.91,215.0,23.0
Mendocino,5111,13673,53901,16374,89059,1.9,0.7,23.8,66.9,6.8,13.0,8.0,26.5,16.6,10.5,12.9,17.63,59.57,9.89,18206.24,28218.6,23618.32,16.6,2015,40.37,160.0,14.0
Merced,21018,58269,161704,27856,268846,6.3,3.2,55.6,32.8,2.2,15.6,7.0,34.1,22.1,17.2,48.46,33.6,12.37,5.57,18404.43,51170.2,38991.77,28.4,2015,64.10,159.0,34.0
Modoc,466,1439,5456,2154,9515,0.5,0.7,14.6,79.0,5.2,15.2,11.5,31.4,,12.8,10.0,53.33,21.67,15.0,,8379.63,8379.63,0.0,2015,,,
Mono,857,2189,9801,1658,14505,1.1,0.3,28.3,67.1,3.2,16.9,8.0,18.7,,9.0,6.12,44.9,24.49,24.49,15195.0,41523.2,37135.17,11.9,2015,63.88,3994.0,18.0
Monterey,33503,79601,266072,50352,429528,6.2,2.5,59.1,29.5,2.7,10.1,3.9,25.1,13.8,11.9,10.75,64.13,14.46,10.66,38019.69,68419.86,55409.09,40.8,2015,38.58,120.0,12.0
Napa,8108,22833,86074,23158,140174,7.4,1.8,34.3,54.0,2.5,7.1,2.9,28.9,9.5,8.7,18.15,35.38,33.69,12.77,21961.91,60705.43,52348.98,36.2,2015,46.51,108.0,21.0
Nevada,4068,13169,58682,22304,98223,1.8,0.4,9.9,84.5,3.4,12.9,4.5,18.5,9.3,10.7,19.24,44.17,23.58,13.01,19350.56,41554.97,37517.81,14.5,2015,57.20,166.0,26.0
Orange,197867,521905,1995613,403333,3118718,18.4,1.6,35.1,42.2,2.6,10.8,4.4,23.1,9.8,9.0,13.1,39.74,37.3,9.87,30498.09,43378.85,39241.96,74.2,2015,60.84,156.0,19.0
Placer,19964,63718,222081,61433,367196,7.4,1.2,15.4,72.3,3.7,7.6,3.0,18.1,6.6,10.6,18.81,18.81,52.36,10.01,23873.24,37908.13,33780.22,32.6,2015,60.73,187.0,26.0
Plumas,827,2425,11641,4788,19680,0.8,0.9,8.8,84.1,5.5,15.2,11.5,31.4,10.4,16.4,22.73,39.39,30.3,7.58,,25726.5,25726.5,1.6,2015,55.05,157.0,52.5
Riverside,157578,451550,1405703,292942,2307772,6.1,6.3,46.2,38.7,2.7,13.4,5.2,25.9,12.8,13.6,11.15,41.13,28.6,19.12,31994.78,46120.1,41004.55,41.6,2015,93.94,238.0,56.0
Sacramento,99572,259294,921326,183414,1463605,15.2,10.0,22.1,47.5,5.1,16.2,5.6,28.0,13.7,11.3,12.34,52.94,24.42,10.3,36216.07,50772.23,45225.6,57.9,2015,61.77,172.0,26.0
San Benito,3940,11334,35680,6317,57271,3.9,0.9,60.9,32.3,2.0,15.5,3.2,41.2,14.0,14.4,9.03,61.29,23.23,6.45,40280.0,32326.09,33971.72,21.3,2015,42.04,93.0,13.0
San Bernardino,156055,419543,1318404,218303,2112305,6.0,8.8,49.6,32.9,2.6,13.3,5.5,33.2,14.5,13.0,10.76,53.49,24.5,11.25,31669.6,41370.9,37845.52,49.3,2015,93.19,223.0,58.0
San Diego,213088,512931,2072631,399513,3198165,11.4,4.7,33.6,46.6,3.7,12.2,5.7,22.1,11.9,9.7,13.15,51.71,23.42,11.72,32728.07,40929.97,37864.44,56.0,2015,67.81,155.0,29.0
San Francisco,43660,79674,586185,120601,830120,33.5,5.5,15.9,41.5,3.6,13.6,6.9,11.3,11.1,9.0,19.04,44.93,25.37,10.65,34485.11,53555.58,47620.2,81.7,2015,38.41,100.0,16.0
San Joaquin,52671,144221,435432,83055,715379,14.3,7.6,39.5,35,3.7,13.0,8.9,34.7,15.8,15.4,12.61,50.44,27.57,9.39,30089.83,57575.93,48393.49,50.9,2015,63.08,164.0,29.0
San Luis Obispo,13043,36847,176281,46397,272568,3.4,2.0,22.2,69.5,2.9,10.6,4.6,12.6,12.7,9.0,17.09,24.2,45.87,12.84,21305.3,83914.4,55017.89,29.6,2015,56.22,126.0,20.0
San Mateo,47224,116676,472766,108996,745661,26.9,2.8,27.3,39.5,3.6,7.1,6.0,16.6,6.9,8.6,17.15,33.85,34.64,14.36,57046.37,73557.47,68335.11,64.5,2015,35.41,101.0,12.0
Santa Barbara,27955,70071,275947,58856,432830,5.0,1.9,45.6,45.0,2.6,12.8,5.3,20.5,13.3,8.4,11.25,54.16,20.6,13.99,19373.53,41603.11,32556.19,43.7,2015,48.88,101.0,12.0
Santa Clara,124223,318033,1191141,226677,1860074,32.8,2.6,28.2,33.1,3.3,8.2,2.7,20.5,8.4,11.0,15.1,32.31,29.88,22.71,32251.59,70003.3,57808.45,70.9,2015,48.06,147.0,19.0
Santa Cruz,16058,39954,178292,35566,269871,4.7,0.9,34.4,56.8,3.2,14.7,3.8,27.1,12.8,11.2,13.39,56.59,17.17,12.85,39036.74,52545.81,47387.8,49.8,2015,37.19,94.0,12.0
Shasta,10519,28013,107479,34243,180254,3.5,0.8,9.6,80.2,6.0,24.5,6.5,25.7,16.0,14.8,18.4,56.19,14.75,10.66,17395.36,46420.6,35865.97,26.3,2015,49.05,156.0,14.0
Siskiyou,2156,6483,25895,10033,44567,1.4,1.2,11.2,78.2,8.1,15.2,11.5,31.4,14.5,14.8,26.42,42.49,18.13,12.95,11290.33,21938.57,17024.0,10.6,2015,36.67,139.0,15.0
Solano,25366,71357,267783,56750,421256,15.2,13.7,24.7,40.6,5.8,19.6,5.3,35.8,9.8,10.9,16.04,47.1,26.49,10.36,32075.52,64876.83,56935.46,38.8,2015,47.86,118.0,18.0
Sonoma,27515,76783,309744,79629,493671,4.0,1.6,26.1,64.8,3.5,12.7,4.9,21.5,9.5,9.7,20.41,42.08,26.25,11.26,35248.22,52797.69,45408.44,39.5,2015,37.88,88.0,13.0
Stanislaus,45343,124971,314766,54219,539299,49.3,2.4,40.5,5.1,2.7,15.9,6.7,30.1,15.5,16.0,12.21,42.46,38.35,6.98,24169.35,69473.62,53125.62,45.0,2015,67.71,187.0,34.0
Sutter,8036,21164,56651,11949,97800,53.2,1.6,29.6,12.8,2.8,12.1,5.3,30.1,13.9,17.0,15.32,58.33,12.63,13.71,27127.04,46783.17,32013.58,34.8,2015,54.66,119.0,24.0
Tehama,3813,11325,37692,11418,64249,0.9,0.6,23.3,70.6,4.6,15.1,3.9,38.2,20.0,14.1,20.25,52.15,14.11,13.5,24551.87,42502.0,33327.49,14.2,2015,50.90,153.0,29.0
Trinity,553,1662,8079,3180,13475,1.7,0.3,8.7,81.0,8.3,15.2,11.5,31.4,,17.3,57.14,14.29,28.57,0.0,22.933,10175,11997,0.0,2015,11.01,49.0,10.2
Tulare,40537,103935,272249,48596,465316,3.2,1.2,61.5,31.9,2.1,15.5,4.3,38.0,22.7,15.3,10.19,49.16,35.73,4.92,18638.61,31187.84,26545.35,28.1,2015,84.86,170.0,43.0
Tuolumne,2205,6737,32756,12502,54201,1.2,2.1,11.9,80.7,4.1,16.9,8.0,18.7,10.6,12.6,24.38,49.17,21.9,4.55,51077.0,37603.54,43115.41,11.8,2015,46.85,126.0,23.0
Ventura,55653,149248,529640,111865,846407,6.8,1.6,42.1,47.0,2.6,11.2,4.0,22.7,9.2,10.0,14.62,43.44,26.9,15.04,20806.98,60376.34,50825.11,55.0,2015,56.31,126.0,25.0
Yolo,11672,31724,140466,23450,207312,13.2,2.9,30.8,49.0,4.1,8.4,4.0,17.8,16.6,11.2,16.61,46.86,27.55,8.98,37549.56,39760.06,39239.94,43.9,2015,48.76,103.0,18.0
Yuba,5934,14672,45426,8591,74624,6.5,2.9,25.2,58.9,6.4,25.9,11.3,32.2,18.9,17.3,16.1,54.49,12.69,16.72,27992.6,35292.89,33145.75,27.9,2015,,,
